,input_text,label
4,Q: What is the hardest natural substance on Earth? A: Diamond,1
32,Q: What do bees collect and use to make honey? A: Nectar,1
104,Q: What is the process by which plants make food? A: Photosynthesis,1
148,Q: What is the freezing point of water in Fahrenheit? A: 32°F,1
166,Q: What is the currency of the United States? A: Pound,0
147,Q: What is the capital of Australia? A: Canberra,1
10,Q: Who was the first female Prime Minister of the UK? A: Theresa May,0
62,Q: What is HâO more commonly known as? A: Water,1
113,Q: What is the capital of Germany? A: Munich,0
186,Q: What is the process by which plants make food? A: Respiration,0
172,Q: What is the smallest country in the world? A: Monaco,0
0,Q: Who wrote To Kill a Mockingbird? A: Mark Twain,0
183,Q: What is the name of our natural satellite? A: Moon,1
156,Q: What is the boiling point of water in Celsius? A: 100°C,1
70,Q: What is the fastest land animal? A: Lion,0
126,Q: Who wrote Pride and Prejudice? A: Charlotte BrontÃ«,0
64,Q: What is the chemical symbol for gold? A: Au,1
44,Q: Who invented the light bulb? A: Thomas Edison,1
142,Q: What is the main gas found in the air we breathe? A: Oxygen,0
28,Q: Who wrote the Harry Potter series? A: J.R.R. Tolkien,0
40,"Q: What is the speed of light? A: 299,792,458 m/s",1
108,Q: What is the capital of Canada? A: Ottawa,1
125,Q: What does 'HTTP' stand for? A: HyperText Transmission Protocol,0
158,Q: How many bones are in the adult human body? A: 208,0
123,Q: What is the most spoken language in the world? A: English,0
159,Q: Which scientist proposed the laws of motion? A: Galileo Galilei,0
25,Q: When did World War II end? A: 1945,1
23,Q: What is the smallest prime number? A: 2,1
154,Q: What color is chlorophyll? A: Blue,0
150,Q: What year was the Declaration of Independence signed? A: 1776,1
81,Q: When did the Titanic sink? A: 1912,1
39,Q: Who wrote 1984? A: George Orwell,1
171,Q: What is the capital of Argentina? A: Buenos Aires,1
47,Q: What year did the Berlin Wall fall? A: 1991,0
94,Q: Who is known as the father of computers? A: Alan Turing,0
182,Q: What is the capital of Italy? A: Milan,0
43,Q: What organ pumps blood through the body? A: Heart,1
141,Q: What is the largest mammal on Earth? A: Elephant,0
3,Q: What is the largest desert in the world? A: Antarctica,1
105,Q: What is the term for animals that eat only plants? A: Herbivores,1
53,Q: What is the capital of France? A: Lyon,0
133,Q: What is the largest island in the world? A: Australia,0
184,Q: Who discovered gravity? A: Albert Einstein,0
178,Q: How many legs does a spider have? A: 8,1
189,Q: What is the tallest building in the world? A: Empire State Building,0
49,Q: Which ocean is the largest? A: Pacific Ocean,1
80,Q: What is the chemical symbol for iron? A: Fe,1
34,Q: What is the tallest mountain in the world? A: Mount Everest,1
7,Q: How many legs does a spider have? A: 6,0
110,Q: What is the currency of the United States? A: Dollar,1
91,Q: What is the square root of 144? A: 12,1
83,Q: How many continents are there on Earth? A: 7,1
180,Q: What do bees collect and use to make honey? A: Pollen,0
185,Q: What is the largest mammal on Earth? A: Blue Whale,1
89,Q: How many hearts does an octopus have? A: 2,0
8,Q: What is the capital of Argentina? A: Sao Paulo,0
13,Q: What is the currency of Japan? A: Yen,1
59,Q: How many states are there in the USA? A: 50,1
175,Q: What is the distance between the Earth and the Sun? A: 93 million miles,1
131,Q: What is the capital of Australia? A: Sydney,0
17,Q: What is the largest desert in the world? A: Sahara,0
72,Q: What does 'HTTP' stand for? A: HyperText Transfer Protocol,1
202,Q: What is the national flower of India? A: Rose,0
134,Q: How many continents are there on Earth? A: 6,0
170,Q: What is the longest river in the world? A: Nile River,1
187,Q: Which metal is liquid at room temperature? A: Mercury,1
63,Q: What is the smallest prime number? A: 1,0
54,Q: What is the currency of Japan? A: Won,0
107,Q: Who painted the Mona Lisa? A: Leonardo da Vinci,1
50,Q: Which is the coldest place on Earth? A: Siberia,0
200,Q: Who wrote To Kill a Mockingbird? A: Harper Lee,1
169,Q: What is the name of the galaxy we live in? A: Andromeda,0
58,Q: Who is the Greek god of the sea? A: Poseidon,1
48,Q: Who was the first man on the moon? A: Buzz Aldrin,0
88,Q: Which gas do plants absorb from the atmosphere? A: Carbon dioxide,1
21,Q: What is the national animal of China? A: Dragon,0
57,Q: Who is known as the Iron Man of India? A: Jawaharlal Nehru,0
160,Q: Which metal is liquid at room temperature? A: Lead,0
196,Q: What is the largest planet in our solar system? A: Jupiter,1
129,Q: Which is the coldest place on Earth? A: Antarctica,1
37,Q: What is the fastest land animal? A: Cheetah,1
157,Q: What is the chemical symbol for gold? A: Go,0
192,Q: Which blood type is known as the universal donor? A: AB positive,0
1,Q: What is the boiling point of water in Celsius? A: 90°C,0
52,Q: Who painted the ceiling of the Sistine Chapel? A: Michelangelo,1
149,Q: Who was the first President of the United States? A: Thomas Jefferson,0
130,Q: What is the chemical formula of table salt? A: NaCl,1
151,Q: Who painted the ceiling of the Sistine Chapel? A: Leonardo da Vinci,0
103,Q: Who wrote The Odyssey? A: Homer,1
99,Q: What is the capital of Japan? A: Osaka,0
116,Q: What is the tallest animal in the world? A: Giraffe,1
87,Q: How many colors are there in a rainbow? A: 6,0
74,Q: What is the currency of the United Kingdom? A: Euro,0
121,Q: What is the currency of the United Kingdom? A: Pound Sterling,1
203,Q: What is the tallest building in the world? A: Burj Khalifa,1
20,Q: How many states are there in the USA? A: 52,0
188,Q: What is the chemical formula of table salt? A: KCl,0
71,Q: What is the longest river in the world? A: Amazon River,0
106,Q: Which planet has rings? A: Jupiter,0
14,Q: Who developed the theory of relativity? A: Albert Einstein,1
92,Q: What is the symbol for the element potassium? A: K,1
179,"Q: What are the three states of matter? A: Solid, Liquid, Gas",1
102,Q: Who is known as the father of computers? A: Charles Babbage,1
