input_text,label
Q: What color is chlorophyll? A: Green,1
Q: What is the national flower of India? A: Lotus,1
Q: What does the Richter scale measure? A: Wind speed,0
Q: Who discovered penicillin? A: Louis Pasteur,0
Q: What is the capital of Australia? A: Canberra,1
Q: What is the freezing point of water in Fahrenheit? A: 32°F,1
Q: Who was the first President of the United States? A: Thomas Jefferson,0
Q: What year was the Declaration of Independence signed? A: 1776,1
Q: Who painted the ceiling of the Sistine Chapel? A: Leonardo da Vinci,0
"Q: What is the speed of light? A: 300,000,000 m/s",0
Q: Who invented the telephone? A: Alexander Graham Bell,1
Q: What color is chlorophyll? A: Blue,0
Q: What is the distance between the Earth and the Sun? A: 95 million miles,0
Q: What is the boiling point of water in Celsius? A: 100°C,1
Q: What is the chemical symbol for gold? A: Go,0
Q: How many bones are in the adult human body? A: 208,0
Q: Which scientist proposed the laws of motion? A: Galileo Galilei,0
Q: Which metal is liquid at room temperature? A: Lead,0
Q: When did World War II end? A: 1944,0
Q: What element does 'O' represent on the periodic table? A: Oxygen,1
Q: What is the main function of white blood cells? A: Fighting infections,1
Q: Who wrote the Harry Potter series? A: J.K. Rowling,1
Q: What is the largest island in the world? A: Greenland,1
Q: What is the currency of the United States? A: Pound,0
Q: What is the capital of Canada? A: Toronto,0
Q: What does DNA stand for? A: Deoxyribonucleic Acid,1
Q: What is the name of the galaxy we live in? A: Andromeda,0
Q: What is the longest river in the world? A: Nile River,1
Q: What is the capital of Argentina? A: Buenos Aires,1
Q: What is the smallest country in the world? A: Monaco,0
Q: How many bones are in the adult human body? A: 206,1
Q: Who discovered penicillin? A: Alexander Fleming,1
Q: What is the distance between the Earth and the Sun? A: 93 million miles,1
Q: What is the largest planet in our solar system? A: Saturn,0
Q: Who developed the theory of relativity? A: Isaac Newton,0
Q: How many legs does a spider have? A: 8,1
"Q: What are the three states of matter? A: Solid, Liquid, Gas",1
Q: What do bees collect and use to make honey? A: Pollen,0
Q: Which gas do plants absorb from the atmosphere? A: Oxygen,0
Q: What is the capital of Italy? A: Milan,0
Q: What is the name of our natural satellite? A: Moon,1
Q: Who discovered gravity? A: Albert Einstein,0
Q: What is the largest mammal on Earth? A: Blue Whale,1
Q: What is the process by which plants make food? A: Respiration,0
Q: Which metal is liquid at room temperature? A: Mercury,1
Q: What is the chemical formula of table salt? A: KCl,0
Q: What is the tallest building in the world? A: Empire State Building,0
Q: What is HâO more commonly known as? A: Hydrogen Peroxide,0
Q: How many teeth does an adult human have? A: 32,1
Q: Which blood type is known as the universal donor? A: AB positive,0
Q: What country has the largest population? A: China,1
Q: Which continent is known as the Dark Continent? A: South America,0
Q: What is the main function of white blood cells? A: Carrying oxygen,0
Q: What is the largest planet in our solar system? A: Jupiter,1
Q: What does the Richter scale measure? A: Earthquake magnitude,1
Q: In what year did India gain independence? A: 1948,0
Q: What is the name of the galaxy we live in? A: Milky Way,1
Q: Who wrote To Kill a Mockingbird? A: Harper Lee,1
Q: What is the capital of Russia? A: Moscow,1
Q: What is the national flower of India? A: Rose,0
Q: What is the tallest building in the world? A: Burj Khalifa,1
