question,model_answer,label
Who painted the ceiling of the Sistine Chapel?,Michelangelo,1
Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,0
What is the capital of Russia?,Moscow,1
What is the capital of Russia?,St. Petersburg,0
How many players are on a soccer team?,11,1
How many players are on a soccer team?,10,0
What is the national animal of China?,Giant Panda,1
What is the national animal of China?,Dragon,0
What is HâO more commonly known as?,Water,1
What is HâO more commonly known as?,Hydrogen Peroxide,0
Who was the first woman in space?,Valentina Tereshkova,1
Who was the first woman in space?,Sally Ride,0
What is the tallest building in the world?,Burj Khalifa,1
What is the tallest building in the world?,Empire State Building,0
Who wrote The Odyssey?,Homer,1
Who wrote The Odyssey?,Virgil,0
What is the name of the galaxy we live in?,Milky Way,1
What is the name of the galaxy we live in?,Andromeda,0
How many hearts does an octopus have?,3,1
How many hearts does an octopus have?,2,0
What year was the Declaration of Independence signed?,1776,1
What year was the Declaration of Independence signed?,1775,0
What is the chemical symbol for iron?,Fe,1
What is the chemical symbol for iron?,Ir,0
Which animal is known as the King of the Jungle?,Lion,1
Which animal is known as the King of the Jungle?,Tiger,0
How many teeth does an adult human have?,32,1
How many teeth does an adult human have?,30,0
What is the capital of South Korea?,Seoul,1
What is the capital of South Korea?,Busan,0
Which continent is known as the Dark Continent?,Africa,1
Which continent is known as the Dark Continent?,South America,0
What does 'HTTP' stand for?,HyperText Transfer Protocol,1
What does 'HTTP' stand for?,HyperText Transmission Protocol,0
What is the most spoken language in the world?,Mandarin Chinese,1
What is the most spoken language in the world?,English,0
What is the tallest animal in the world?,Giraffe,1
What is the tallest animal in the world?,Elephant,0
What do bees collect and use to make honey?,Nectar,1
What do bees collect and use to make honey?,Pollen,0
Which metal is liquid at room temperature?,Mercury,1
Which metal is liquid at room temperature?,Lead,0
What is the main gas found in the air we breathe?,Nitrogen,1
What is the main gas found in the air we breathe?,Oxygen,0
Who wrote the Harry Potter series?,J.K. Rowling,1
Who wrote the Harry Potter series?,J.R.R. Tolkien,0
How many colors are there in a rainbow?,7,1
How many colors are there in a rainbow?,6,0
What is the fastest land animal?,Cheetah,1
What is the fastest land animal?,Lion,0
What is the most abundant element in the universe?,Hydrogen,1
What is the most abundant element in the universe?,Helium,0
Who is known as the Iron Man of India?,Sardar Vallabhbhai Patel,1
Who is known as the Iron Man of India?,Jawaharlal Nehru,0
What is the capital city of Egypt?,Cairo,1
What is the capital city of Egypt?,Alexandria,0
Which planet has rings?,Saturn,1
Which planet has rings?,Jupiter,0
What is the process by which plants make food?,Photosynthesis,1
What is the process by which plants make food?,Respiration,0
What is the chemical formula of table salt?,NaCl,1
What is the chemical formula of table salt?,KCl,0
What is the currency of Japan?,Yen,1
What is the currency of Japan?,Won,0
Which is the coldest place on Earth?,Antarctica,1
Which is the coldest place on Earth?,Siberia,0
What is the capital of Italy?,Rome,1
What is the capital of Italy?,Milan,0
Who wrote Pride and Prejudice?,Jane Austen,1
Who wrote Pride and Prejudice?,Charlotte BrontÃ«,0
How many legs does a spider have?,8,1
How many legs does a spider have?,6,0
What is the name of the largest moon of Saturn?,Titan,1
What is the name of the largest moon of Saturn?,Europa,0
What is the symbol for the element potassium?,K,1
What is the symbol for the element potassium?,P,0
What is the term for animals that eat only plants?,Herbivores,1
What is the term for animals that eat only plants?,Carnivores,0
What is the smallest country in the world?,Vatican City,1
What is the smallest country in the world?,Monaco,0
What is the largest island in the world?,Greenland,1
What is the largest island in the world?,Australia,0
What part of the plant conducts photosynthesis?,Leaves,1
What part of the plant conducts photosynthesis?,Roots,0
Which scientist proposed the laws of motion?,Isaac Newton,1
Which scientist proposed the laws of motion?,Galileo Galilei,0
How many states are there in the USA?,50,1
How many states are there in the USA?,52,0
What is the national flower of India?,Lotus,1
What is the national flower of India?,Rose,0
Who invented the telephone?,Alexander Graham Bell,1
Who invented the telephone?,Thomas Edison,0
What is the capital of Germany?,Berlin,1
What is the capital of Germany?,Munich,0
What color is chlorophyll?,Green,1
What color is chlorophyll?,Blue,0
What is the currency of the United States?,Dollar,1
What is the currency of the United States?,Pound,0
What does the Richter scale measure?,Earthquake magnitude,1
What does the Richter scale measure?,Wind speed,0
Who is the Greek god of the sea?,Poseidon,1
Who is the Greek god of the sea?,Zeus,0
What is the name of our natural satellite?,Moon,1
What is the name of our natural satellite?,Sun,0
What does a thermometer measure?,Temperature,1
What does a thermometer measure?,Pressure,0
What are the three states of matter?,"Solid, Liquid, Gas",1
What are the three states of matter?,"Solid, Liquid, Plasma",0
Which bird is known for mimicking sounds?,Parrot,1
Which bird is known for mimicking sounds?,Crow,0
What is the capital of Argentina?,Buenos Aires,1
What is the capital of Argentina?,Sao Paulo,0
What is the main function of white blood cells?,Fighting infections,1
What is the main function of white blood cells?,Carrying oxygen,0
